emp_no,salary
10001,60117
10002,65828
10003,40006
10004,40054
10005,78228
10006,4
10007,56724
10008,46671
10009,60929
10010,72488
10011,42365
10012,4
10013,4
10014,46168
10015,4
10016,70889
10017,7138
10018,55881
10019,44276
10020,4
10021,55025
10022,4
10023,47883
10024,83733
10025,4
10026,47585
10027,4
10028,48859
10029,63163
10030,66956
10031,4
10032,48426
10033,51258
10034,47561
10035,41538
10036,42819
10037,4
10038,4
10039,4
10040,52153
10041,56893
10042,81662
10043,49324
10044,40919
10045,41971
10046,4
10047,54982
10048,4
10049,4
10050,74366
10051,48817
10052,57212
10053,67854
10054,4
10055,80024
10056,48857
10057,49616
10058,52787
10059,71218
10060,74686
10061,68577
10062,55685
10063,4
10064,4
10065,4
10066,69736
10067,44642
10068,87964
10069,67932
10070,55999
10071,4
10072,4
10073,56473
10074,61714
10075,43815
10076,47319
10077,4
10078,4728
10079,53492
10080,54916
10081,55786
10082,48935
10083,4
10084,69811
10085,4
10086,81613
10087,9675
10088,65957
10089,56469
10090,44978
10091,4
10092,53977
10093,67856
10094,58001
10095,63668
10096,61395
10097,44886
10098,4
10099,68781
10100,54398
10101,66591
10102,4438
10103,68158
10104,45312
10105,59258
10106,62928
10107,93159
10108,4
10109,4
10110,46836
10111,4
10112,495
10113,69856
10114,49593
10115,4
10116,44034
10117,52284
10118,4
10119,53551
10120,46292
10121,43772
10122,42284
10123,71524
10124,40583
10125,58249
10126,4
10127,4
10128,4
10129,4
10130,4
10131,48475
10132,6159
10133,4
10134,4
10135,4
10136,8242
10137,4
10138,53574
10139,4
10140,61352
10141,62907
10142,4
10143,4
10144,5672
10145,47612
10146,60394
10147,4
10148,63021
10149,8874
10150,70122
10151,90741
10152,4
10153,54246
10154,4
10155,4004
10156,49879
10157,4877
10158,40725
10159,52881
10160,91622
10161,43149
10162,4
10163,41603
10164,52043
10165,43991
10166,51586
10167,5699
10168,51818
10169,70303
10170,47183
10171,41311
10172,41197
10173,85757
10174,5952
10175,72285
10176,54635
10177,48041
10178,50568
10179,4
10180,52444
10181,4
10182,4038
10183,4
10184,48586
10185,68334
10186,4
10187,71454
10188,62365
10189,41222
10190,4
10191,4
10192,4
10193,48733
10194,64941
10195,4
10196,86671
10197,4
10198,44076
10199,42042
10200,46879
10201,4
10202,47338
10203,4
10204,4
10205,4
10206,4
10207,52783
10208,6189
10209,57996
10210,4
10211,49032
10212,65938
10213,4
10214,58341
10215,43944
10216,4
10217,4
10218,40788
10219,4
10220,58883
10221,57821
10222,4
10223,62922
10224,4
10225,4
10226,79456
10227,53497
10228,79474
10229,58321
10230,47531
10231,4
10232,89606
10233,4
10234,84584
10235,41941
10236,80469
10237,10072
10238,52764
10239,65146
10240,73874
10241,4
10242,4
10243,59332
